name,total_bases,number,id,address,COORDENADAS
Malasaña,24,4,5,Calle Manuela Malasaña nº 5,"-3.7025875, 40.4285524"
Manuel Silvela,24,124,169,Calle Manuel Silvela nº 20,"-3.6993465, 40.4309524"
María Francisca 1,18,146,155,Calle María Francisca nº 1,"-3.6787169, 40.4442258"
Marqués de Cubas,24,29,33,Calle del Marqués de Cubas nº 25,"-3.6957355, 40.4162619"
Marqués de la Ensenada,24,10,11,Calle Marqués de la Ensenada nº 16,"-3.6918807, 40.4250863"
Marqués de Salamanca,24,109,115,Calle José Ortega y Gasset nº 30,"-3.6816402, 40.4300481"
Mártires Concepcionistas,27,108,114,Calle Mártires Concepcionistas nº 2,"-3.6706024, 40.4273005"
Méndez Álvaro,24,119,127,Calle Méndez Álvaro nº 11,"-3.6863218, 40.4013216"
Menéndez Pelayo,24,75,79,Avenida de Menéndez Pelayo nº 90,"-3.6784838, 40.4082805"
Metro Pirámides,24,162,133,Paseo de los Olmos nº 28,"-3.7108108, 40.4034076"
Miguel Moya,24,2,3,Calle Miguel Moya nº 1,"-3.7058415, 40.4205886"
Moncloa,24,110,116,Paseo de Moret nº 2,"-3.7206893, 40.4344969"
Museo Reina Sofía,24,50,54,Calle Santa Isabel nº 57,"-3.6933463, 40.4083684"
Narváez,24,61,65,Calle O'Donnell nº 28,"-3.6752045, 40.4213983"
Niño Jesús,24,82,87,Calle Doctor Esquerdo nº 161,"-3.6697526, 40.4084556"
O'Donnell,24,62,66,Calle O'Donnell nº 50,"-3.6724968, 40.4213148"
Orense 12,24,151,145,Calle Orense nº 12,"-3.695286, 40.4480662"
Orense 36,24,154,141,Calle Orense nº 36,"-3.6946218, 40.4548456"
Ortega y Gasset,24,103,108,Calle Ortega y Gasset nº 6,"-3.6865654, 40.4303057"
Ortega y Gasset 87,24,145,171,Calle Ortega y Gasset nº 87,"-3.6712823, 40.429887"
Palacio de Deportes,24,100,105,Calle Goya nº 99,"-3.6738635, 40.4248457"
Palacio de Oriente,24,24,27,Calle Carlos III nº 1,"-3.7103538, 40.4182146"
Palos de la Frontera,24,120,128,Calle Palos de la Frontera nº 40,"-3.6944768, 40.4032208"
Paseo de la Castellana con Raimundo Fernández,24,138,154,Paseo de la Castellana nº 67,"-3.6917932, 40.4457414"
Paseo de la Esperanza,21,163,134,Paseo de la Esperanza nº 2,"-3.7064516, 40.4035988"
Paseo de la Florida,24,161,132,Paseo de la Florida nº 8,"-3.7218482, 40.4220812"
Paseo de la Habana 42,24,149,146,Paseo de la Habana nº 42,"-3.6881689, 40.4498613"
Paseo de la Habana 63,24,159,173,Paseo de la Habana nº 63,"-3.6835926, 40.4543852"
Paseo de las Delicias,24,164,136,Paseo de las Delicias nº 92-94,"-3.6945025, 40.3972616"
Paseo de Moret,24,112,119,Paseo de Moret nº 11,"-3.7246532, 40.4325991"
Pedro Bosch,24,78,82,Calle Cerro de la Plata nº 2,"-3.6744804, 40.4009101"
Pintor Rosales,24,113,120,Paseo del Pintor Rosales nº 38,"-3.7205129, 40.427657"
Pío Baroja,24,83,88,Calle Pío Baroja nº 10,"-3.6751105, 40.4130243"
Plaza Conde Suchil,18,3,4,Plaza del Conde Suchil nº 2-4,"-3.7069171, 40.4302937"
Plaza de Celenque A,24,25a,28,Plaza de Celenque nº 1,"-3.7064809, 40.4173114"
Plaza de Celenque B,24,25b,29,Plaza de Celenque nº 1,"-3.7063837, 40.4172781"
Plaza de Colón,24,93,98,Calle Goya nº 1,"-3.6893698, 40.4257046"
Plaza de España A,24,116a,123,Plaza de España,"-3.711603, 40.42402"
Plaza de España B,24,116b,124,Plaza de España,"-3.711703, 40.42412"
Plaza de Felipe II,24,98,103,Plaza de Felipe II,"-3.6753567, 40.4242625"
Plaza de Juan Pujol,21,59,63,Calle Espíritu Santo nº 30,"-3.7043418, 40.4255495"
Plaza de la Cebada,27,39,43,Plaza de la Cebada nº 16,"-3.7088337, 40.4112744"
Plaza de la Independencia,24,60,64,Plaza de la Independencia nº 6,"-3.688398, 40.419752"
Plaza de la Provincia,18,32,36,Plaza de la Provincia nº 1,"-3.7061032, 40.4150099"
Plaza de la República Argentina,24,137,152,Plaza de la República Argentina nº 6-7,"-3.6853312, 40.445411"
Plaza de las Salesas,24,26,30,Plaza de las Salesas 7,"-3.694475, 40.423855"
Plaza de Lavapiés,24,53,57,Calle Valencia nº 1,"-3.7008803, 40.4089282"
Plaza de los Astros,24,73,77,Avenida de Nazaret nº 7,"-3.6689089, 40.4114475"
Plaza de los Carros,24,38,42,Carrera de San Francisco nº 1,"-3.7120734, 40.4110406"
Plaza de Nelson Mandela,21,44,48,Calle Mesón de Paredes nº 35,"-3.7040666, 40.4097617"
Plaza de Pedro Zerolo,24,18,19,Plaza de Pedro Zerolo,"-3.6996502, 40.4207773"
Plaza de Ramales,24,36,40,Plaza de Ramales nº 1,"-3.7124038, 40.4167281"
Plaza de San Ildefonso,24,55,59,Plaza de San Ildefonso nº 3,"-3.7020842, 40.4239757"
Plaza de San Juan de la Cruz,24,135,158,Plaza de San Juan de la Cruz nº 11,"-3.6927821, 40.4415974"
Plaza de San Miguel,24,9,10,Plaza de San Miguel nº 9,"-3.7095084, 40.4156057"
Plaza de Santa Ana,24,52,56,Plaza de Santa Ana nº 10,"-3.7007164, 40.4144226"
Plaza del Carmen,24,56,60,Plaza del Carmen nº 1,"-3.7032414, 40.4184192"
Plaza del Cordón,24,35,39,Plaza del Cordón nº 1,"-3.7103285, 40.4141931"
Plaza San Francisco,24,37,41,Plaza de San Francisco nº 5,"-3.7144964, 40.4108442"
Pº Castellana - Glorieta de Emilio Castelar,12,141,165,Paseo de la Castellana nº 43,"-3.6892368, 40.4355143"
Prim,24,19,20,Calle Prim nº 2,"-3.6954983, 40.4218616"
Príncipe de Vergara,24,91,96,Calle Hermosilla nº 70,"-3.6787441, 40.426134"
Puerta de Granada,24,79,83,Avenida de Menéndez Pelayo nº 38,"-3.6803874, 40.4051451"
Puerta de Madrid,27,85,90,Avenida de Menéndez Pelayo nº 11,"-3.680008, 40.421501"
Puerta de Mariano de Cavia,24,76,80,Avenida del Mediterráneo nº 19,"-3.6750121, 40.4076726"
Puerta de Toledo,21,45,49,Glorieta de la Puerta de Toledo nº 1,"-3.7110513, 40.4070358"
Puerta del Ángel Caído,27,69,73,Avenida de Alfonso XII nº 54,"-3.688822, 40.409808"
Puerta del Doce de Octubre,24,70,74,Avenida de Menéndez Pelayo nº 63,"-3.6779232, 40.4153053"
Puerta del Pacífico,24,74,78,Avenida de Menéndez Pelayo nº 73,"-3.6766813, 40.4117627"
Puerta del Sol A,24,1a,1,Puerta del Sol nº 1,"-3.7024255, 40.4168961"
Puerta del Sol B,24,1b,2,Puerta del Sol nº 1,"-3.7024207, 40.4170009"
Quintana,24,114,121,Calle Quintana nº 11-13,"-3.7174158, 40.4277456"
Raimundo Fernández,24,133,150,Calle Raimundo Fernández Villaverde nº 33-35,"-3.7001669, 40.447125"
Red de San Luis A,24,21a,23,Calle Montera nº 48,"-3.7014814, 40.4197872"
Red de San Luis B,24,21b,24,Calle Montera nº 47,"-3.7015235, 40.4197204"
Ribera de Curtidores,24,46,50,Calle Ribera de Curtidores nº 28,"-3.7071259, 40.4053153"
Ronda de Atocha,27,51,55,Ronda de Atocha nº 2,"-3.6935205, 40.4075606"
Sainz de Baranda,24,72,76,Calle Doctor Esquerdo nº 99,"-3.6691838, 40.4157413"
San Andrés,24,11,12,Calle San Andrés nº 18,"-3.7035918, 40.4269483"
San Bernardo,21,16,17,Calle San Bernardo nº 22,"-3.7075065, 40.4230721"
San Germán,24,155,139,Calle del General Yagüe nº 57,"-3.7009675, 40.4572824"
San Hermenegildo,24,12,13,Calle San Bernardo nº 85,"-3.7061931, 40.4284246"
San Quintín,27,30,34,Calle Pavía nº 6,"-3.711504, 40.4192095"
San Vicente Ferrer,21,15,16,Calle San Vicente Ferrer nº 64,"-3.7073764, 40.4261649"
Santa Cruz del Marcenado,24,57,61,Calle Santa Cruz del Marcenado nº 24,"-3.7126299, 40.4295658"
Santa Engracia 127,20,130,157,Calle Santa Engracia nº 127,"-3.7016321, 40.441386"
Santa Engracia 14,24,122,130,Calle Santa Engracia nº 14,"-3.6963983, 40.4295863"
Santa Isabel,24,42,46,Calle Atocha nº 32,"-3.6982318, 40.4107085"
Santa María de la Cabeza,24,121,129,Paseo de Santa María de la Cabeza nº 58,"-3.6987665, 40.4017926"
Santo Domingo,24,23,26,Plaza de Santo Domingo nº 1,"-3.7080733, 40.4197429"
Serrano,24,105,110,Calle Serrano nº 54,"-3.6873922, 40.4267905"
Serrano 210,24,148,144,Calle Serrano nº 210,"-3.6817962, 40.4510188"
Sevilla,24,28,32,Calle Alcalá nº 27,"-3.69926, 40.4181663"
Sor Ángela de la Cruz,24,156,140,Calle Sor Ángela de la Cruz nº 2,"-3.691533, 40.4592351"
Valderribas,24,84,89,Calle Doctor Esquerdo nº 191,"-3.6726019, 40.4032501"
Velázquez,24,102,107,Calle Alcalá nº 95,"-3.6840229, 40.4211802"
Velázquez 130,24,140,162,Calle Velázquez nº 130,"-3.682862, 40.4379444"
Ventura Rodríguez,24,14,15,Calle Ventura Rodríguez nº 2,"-3.713479, 40.4260957"
Villanueva,24,95,100,Calle Claudio Coello nº 109,"-3.6870548, 40.4226584"
